tract,population,ca,ca_pop,tract_pop_proport
17031830500,1200,30,15726,0.07630675314765356
17031090300,648,9,7184,0.09020044543429843
17031650400,1961,65,9939,0.19730355166515745
17031150402,1499,15,23644,0.06339874809676874
17031834900,1015,67,16129,0.06293012586025172
17031260400,600,26,8398,0.0714455822814956
17031020301,2132,2,22962,0.09284905496036931
17031490500,1039,49,22197,0.04680812722439969
17031839600,952,35,8480,0.11226415094339623
17031251700,590,25,44880,0.013146167557932263
17031040900,940,4,16991,0.05532340650932847
17031611000,424,61,12807,0.033106894666979
17031840300,1237,59,4827,0.2562668324010773
17031081800,4119,8,44014,0.09358385968101059
17031760801,1106,76,10300,0.10737864077669904
17031241000,884,24,35052,0.025219673627753052
17031070102,1280,7,28647,0.04468181659510594
17031834800,995,68,13284,0.074902137910268
17031834400,1827,42,12194,0.14982778415614237
17031750100,2252,75,13774,0.16349644257296356
17031490800,2114,49,22197,0.09523809523809523
17031063301,1305,6,42891,0.030425963488843813
17031283800,1504,28,24753,0.06076031188138811
17031490400,598,49,22197,0.02694057755552552
17031440600,1169,44,16965,0.06890657235484822
17031807900,1822,12,11826,0.15406730931845086
17031081900,487,8,44014,0.01106466124414959
17031460500,3073,46,13298,0.231087381561137
17031700402,1692,70,16316,0.10370188771757784
17031839700,1555,60,11308,0.13751326494517155
17031681100,1633,68,13284,0.12292984040951521
17031220902,1081,22,29254,0.036952211663362274
17031210100,1530,21,12916,0.11845772685041808
17031832400,1316,22,29254,0.044985301155397554
17031062200,1269,6,42891,0.029586626565013638
17031231200,2286,23,20365,0.11225141173582126
17031252202,2236,25,44880,0.04982174688057041
17031351100,1003,35,8480,0.11827830188679245
17031460600,487,46,13298,0.03662204842833509
17031836200,261,41,11097,0.023519870235198703
17031271500,672,27,9266,0.07252320310813727
17031837300,1086,27,9266,0.11720267645154328
17031081201,2474,8,44014,0.05620938792202481
17031230900,2113,23,20365,0.10375644488092316
17031063302,2007,6,42891,0.04679303350353221
17031330100,8784,33,11108,0.7907814187972633
17031400500,1021,40,5444,0.1875459221160911
17031720100,1542,72,9657,0.15967691829760794
